ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Annotation
Tubatulabel-22_person-1,682,Tubatulabel,22_person,nɨmɨ-,nɨmɨ-,,,Hale1964,,true,,,"JHH: This is a Numic loan. anghanniil ""people"" (literally, householders)"
Tubatulabel-23_fish-1,714,Tubatulabel,23_fish,kuyuu-l,kuyuu-l,,,Miller1984,23_fish-2,false,,,
Tubatulabel-24_bird-1,746,Tubatulabel,24_bird,čikii-t,čikii-t,,,Miller1984,,true,,,JHH:Probably a loan from Sierra Miwok but hard to tell with bird names
Tubatulabel-25_dog-1,778,Tubatulabel,25_dog,punku,punku,,,Miller1984,25_dog-1,false,,,
Tubatulabel-26_louse-1,810,Tubatulabel,26_louse,nahaa-l,nahaa-l,,,Miller1984,26_louse-5,false,,,
Tubatulabel-27_snake-1,842,Tubatulabel,27_snake,tuha-t,tuha-t,,,Miller1984,27_snake-6,false,,,"(watersnake, and generic)"
Tubatulabel-28_tree-1,874,Tubatulabel,28_tree,uuʔu-t,uuʔu-t,,,Miller1984,28_tree-2,false,,,"(also =stick, wood)"
Tubatulabel-29_bark-1,905,Tubatulabel,29_bark,opit,opit,,,Miller1984,29_bark-8,false,,,
Tubatulabel-29_bark-2,5101,Tubatulabel,29_bark,opun,opun,,,Merriam1850,29_bark-8,false,,,
Tubatulabel-30_leaf-1,937,Tubatulabel,30_leaf,naŋhabɨɨ-l,naŋhabɨɨ-l,,,Miller1984,30_leaf-1,false,,,
Tubatulabel-31_root-1,969,Tubatulabel,31_root,wiiši,wiiši,,,Miller1984,31_root-3,false,,,
Tubatulabel-32_seed-1,1001,Tubatulabel,32_seed,punʒi-l,punʒi-l,,,Miller1984,32_seed-1,false,,,
Tubatulabel-33_blood-1,1033,Tubatulabel,33_blood,ɨkwa,ɨkwa,,,Hale1964,33_blood-2,false,,,
Tubatulabel-34_meat-1,1065,Tubatulabel,34_meat,tuguwa,tuguwa,,,Miller1984,34_meat-1,false,,,
Tubatulabel-35_skin-1,1097,Tubatulabel,35_skin,poon-t,poon-t,,,Miller1984,35_skin-1,false,,,
