Grapheme	IPA
^u̱	u̠
^uu	uː
^uuiya$	uu/uːi y/j a
^uyí	u y/j í/i
^v	v
^V	V/ə
^vʔ	vˀ
^w	w
^wʔ	wˀ
^wh	wh/w̥
^w̉	w̉/w
^x	x
^xʔ	xˀ
^xw	x w
^y	y/j
^ya	j a
^yá	y/j á/a
^yá$	y/j á
^yáa	y/j áa/aː
^ya$	y/j a
^yíí	y/j íí/iː
^yíí$	y/j íí/iː
^yíy	y/j í/i y/j
^yíy$	y/j íy/iː
^ya:	y/j aː
^yaa	y/j aː
^yaú$	y/j aú/au
^yai$	y/j ai
^yau	y/j au
^yú	y/j ú/u
^yúu	y/j úu/uː
^yúuyi	y/j úu/uː y/j i
^yúy	y/j úy/ui
^yúy$	y/j úy/ui
^ye	y/j e
^ye$	y/j e
^ye:y$	y/j e:y/eːi
^yey	y/j ei
^yɨ	y/j ɨ
^yɨú	y/j ɨú/ɨu
^yo	y/j o
^yoe$	y/j oe
^yoo	y/j oː
^yoo$	y/j oː
^yooa	y oo/oː a
^yoyá	y/j o y/j á/a
^yu	j u
^yu$	y/j u
^yua	y/j ua
^yuu	y uː
^yuu$	y/j uː
^z	z
^zʔ	zˀ
^^ʔc	ˀtʃ
^ỷ	ỷ/k
^ṓ$	oː
^ṣ	ṣ/ʂ
^ᴐ	ɔ
^ᴐ̀	ɔ
^ᴐ́	ᴐ́/ɔ
^ᴐ̨́	ɔ̃
^ᴐ̨́ᴐ̨́	ɔ̃
^ẓ	ẓ/ʐ
_	+
ỉ	ỉ/i
ủ	ủ/u
ỷ	ỷ/j
ḍ$	ḍ/ɖ
ḗ$	eː
ḵ	k
ṃ$	m̩
ṣ	ṣ/ʂ
ṣ$	ṣ/ʂ
ᴀ	ɑ̟
ᴀ$	ɑ̟
ᴀɪ$	ɑ̟ɪ/ai
ᴐ	ɔ
ᴐ$	ɔ
ᴐ̀	ɔ
ᴐ̀ᴐ̀	ɔː
ᴐ́	ɔ
ᴐ́$	ɔ
ᴐ́h	ɔ h
ᴐ́́$	ɔ
ᴐ́ᴐ́$	ɔː
ᴐ̨	ᴐ̨/ɔ̃
ᴐ̨́ᴐ̨́	ɔ̃ː
ᴐ̨ᴐ̨	ɔ̃ː
ᴐ̨ᴐ̨$	ɔ̃ː
ᴐᴐ	ɔː
ᴐᴐ$	ɔː
ᴐᴐ́́	ɔː
ẓ	ẓ/ʐ
ả	ả/a
