ID	LOCAL_ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	COGNACY	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
2824	utoaztecan-Huichol-54_arm-1	utoaztecan-Huichol	ARM	arm	mamá	mamá	m a m a	utoaztecan-54_arm-2	159	4 7 4 7	AXBZ	MAMA	14	14.M.C 14.A.V 14.M.C 14.A.V	2.0 1.5 1.75 0.8	mama	1	55
2981	utoaztecan-ClassicalAztec-54_arm-1	utoaztecan-ClassicalAztec	ARM	arm	maai-tl	maai-tl	m aːi + t l	utoaztecan-54_arm-2	159	4 7 9 1 5	AX_AC	MA_TL	5	5.M.C 5.A.V 5._._ 5.T.C 5.L.C	2.0 1.5 0.0 2.0 1.5	maːi+tl	1	49
3115	utoaztecan-Pannamint-54_arm-1	utoaztecan-Pannamint	ARM	arm	pɨta	pɨta	p ɨ t a	utoaztecan-54_arm-1	54	1 7 1 7	AXBZ	PITA	24	24.P.C 24.I.V 24.T.C 24.A.V	2.0 1.5 1.75 0.8	pɨta	0	52
3253	utoaztecan-AztecTetelcingo-54_arm-1	utoaztecan-AztecTetelcingo	ARM	arm	-mö	-mö	m ø	utoaztecan-54_arm-2	159	4 7	AX	MU	1	1.M.C 1.U.V	2.0 1.5	mø	1	47
3392	utoaztecan-AztecZacapoaxtla-54_arm-1	utoaztecan-AztecZacapoaxtla	ARM	arm	-ahkol	-ahkol	a ʰk o l	utoaztecan-54_arm-7	1156	7 1 7 5	XBYN	AKUL	2	2.A.V 2.K.C 2.U.V 2.L.c	1.5 1.75 1.3 0.8	aʰkol	0	48
3525	utoaztecan-Pipil-54_arm-1	utoaztecan-Pipil	ARM	arm	mahku-l	mahku-l	m a ʰk u + l	utoaztecan-54_arm-2	159	4 7 1 7 9 5	AXBZ_A	MAKY_L	27	27.M.C 27.A.V 27.K.C 27.Y.V 27._._ 27.L.C	2.0 1.5 1.75 0.8 0.0 2.0	maʰku+l	0	72
3526	utoaztecan-Pipil-54_arm-2	utoaztecan-Pipil	ARM	arm	mayi-	mayi-	m a j i		1173	4 7 6 7	AXBZ	MAJI	27	27.M.C 27.A.V 27.J.C 27.I.V	2.0 1.5 1.75 0.8	maji	0	81
3527	utoaztecan-Pipil-54_arm-3	utoaztecan-Pipil	ARM	arm	mah-	mah-	m a h		1174	4 7 3	AXN	MAH	27	27.M.C 27.A.V 27.H.c	2.0 1.5 0.8	mah	0	58
3661	utoaztecan-SoutheasternTepehuan-54_arm-1	utoaztecan-SoutheasternTepehuan	ARM	arm	nob	nob	n o b	utoaztecan-54_arm-6	572	4 7 1	AXN	NUP	31	31.N.C 31.U.V 31.P.c	2.0 1.5 0.8	nob	1	76
3790	utoaztecan-Kitanemuk-54_arm-1	utoaztecan-Kitanemuk	ARM	arm	mac	mac	m a ts	utoaztecan-54_arm-2	159	4 7 2	AXN	MAC	17	17.M.C 17.A.V 17.C.c	2.0 1.5 0.8	mats	0	47
